Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
500,6,143,NetworkX Referencia,0.003949403762817383,2.3412758021127094e-08
500,7,228,Dijkstra Classico,0.022554397583007812,1.1859800917649544e-07
500,7,228,Dijkstra Min-Heap,0.0070645809173583984,3.985944407624529e-08
500,7,228,NetworkX Referencia,0.003919363021850586,2.3646838748288038e-08
500,7,452,Dijkstra Classico,0.022910356521606445,1.2048292101423758e-07
500,7,452,Dijkstra Min-Heap,0.007005453109741211,3.9317394560218605e-08
500,7,452,NetworkX Referencia,0.0063762664794921875,3.5301951841953583e-08
500,7,76,Dijkstra Classico,0.04339885711669922,2.2408177387653646e-07
500,7,76,Dijkstra Min-Heap,0.015298128128051758,8.218042388694722e-08
500,7,76,NetworkX Referencia,0.00419306755065918,2.5068756681785527e-08
500,7,17,Dijkstra Classico,0.02266693115234375,1.194056932382398e-07
500,7,17,Dijkstra Min-Heap,0.007008790969848633,3.961609890065058e-08
500,7,17,NetworkX Referencia,0.003917217254638672,2.3582893490621914e-08
500,7,314,Dijkstra Classico,0.02265334129333496,1.1936771997632268e-07
500,7,314,Dijkstra Min-Heap,0.007311105728149414,4.082263277129695e-08
500,7,314,NetworkX Referencia,0.0040493011474609375,2.4414158825227775e-08
500,8,317,Dijkstra Classico,0.02274608612060547,1.1980327345892972e-07
500,8,317,Dijkstra Min-Heap,0.012031316757202148,6.420843827563123e-08
500,8,317,NetworkX Referencia,0.006138801574707031,3.428041013172395e-08
500,8,315,Dijkstra Classico,0.04503226280212402,2.358059069113304e-07
500,8,315,Dijkstra Min-Heap,0.0074310302734375,4.254535497609589e-08
500,8,315,NetworkX Referencia,0.0039370059967041016,2.365336588932422e-08
500,8,125,Dijkstra Classico,0.023632526397705078,1.2428120591007062e-07
500,8,125,Dijkstra Min-Heap,0.011688947677612305,6.392492769528383e-08
500,8,125,NetworkX Referencia,0.0039861202239990234,2.387044296408539e-08
500,8,331,Dijkstra Classico,0.02274632453918457,1.193812942022132e-07
500,8,331,Dijkstra Min-Heap,0.007458209991455078,4.1603278239630155e-08
500,8,331,NetworkX Referencia,0.006253719329833984,3.5241354057936774e-08
500,8,151,Dijkstra Classico,0.04093527793884277,2.128595293670437e-07
500,8,151,Dijkstra Min-Heap,0.011633634567260742,7.35340022747728e-08
500,8,151,NetworkX Referencia,0.004636049270629883,2.7266842694880076e-08
500,9,255,Dijkstra Classico,0.022156953811645508,1.1681600071135589e-07
500,9,255,Dijkstra Min-Heap,0.007085561752319336,3.96056696334062e-08
500,9,255,NetworkX Referencia,0.004010915756225586,2.405192514089367e-08
500,9,210,Dijkstra Classico,0.023188114166259766,1.2233244433957515e-07
500,9,210,Dijkstra Min-Heap,0.007281064987182617,4.101370266161019e-08
500,9,210,NetworkX Referencia,0.0039520263671875,2.3740006015608225e-08
500,9,451,Dijkstra Classico,0.02247166633605957,1.1812764996806216e-07
500,9,451,Dijkstra Min-Heap,0.016307830810546875,1.0750227378151143e-07
500,9,451,NetworkX Referencia,0.006027698516845703,3.339840538949563e-08
500,9,281,Dijkstra Classico,0.04301142692565918,2.2374468473739498e-07
500,9,281,Dijkstra Min-Heap,0.00698542594909668,3.9063793286115926e-08
